,Date,Zpid,time,Price,pricePerSquareFoot,priceChangeRate,event,Agency,buyerAgent,sellerAgent,showCountyLink,postingIsRental,attributeSource
0,18/05/2017,31533978,1.69629E+12,3995000,1882,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
0,04/01/2018,31533978,1.69629E+12,2150000,,-0.102296451,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,01/02/2018,31533978,1.67124E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
2,10/03/2018,31533978,1.65335E+12,2395000,,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
0,10/05/2018,31533978,1.69629E+12,1795000,,-0.113580247,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '22711148', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,08/11/2018,31533978,1.21219E+12,2025000,,0,Sold,Public Record,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
0,28/09/2023,31533978,1.69638E+12,2195000,2657,0.354938272,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
1,26/05/1995,31535465,1.48833E+12,1620000,1961,-0.018181818,Sold,Public Record,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
2,01/07/2010,31535465,1.47943E+12,1650000,1998,0,Pending sale,Sotheby's International Realty,,,FALSE,FALSE,"{'infoString1': '00110942', 'infoString2': ""Sotheby's International Realty"", 'infoString3': None}"
3,18/04/2015,31535465,1.47036E+12,1650000,1998,0.2,Listed for sale,Sotheby's International Realty,,,FALSE,FALSE,"{'infoString1': '00110942', 'infoString2': ""Sotheby's International Realty"", 'infoString3': None}"
4,17/10/2015,31535465,1.42655E+12,1375000,1665,0.30952381,Sold,Public Record,,"{'photo': {'url': 'https://photos.zillowstatic.com/h_e/IS6mg52qj2p6400000000000.jpg'}, 'profileUrl': '/profile/Josh-Rubin/', 'name': 'Josh Rubin'}",FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
5,15/04/2016,31535465,1.37264E+12,1050000,1271,0,Sold,Public Record,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
0,22/09/2016,31535465,1.69629E+12,3100000,1624,0.817575249,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,14/10/2016,31535465,1.27172E+12,1705569,893,0,Sold,Public Record,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
0,04/05/2017,31535465,1.69629E+12,425000,,-0.031890661,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
0,19/10/2017,31535465,1.69629E+12,3695000,641,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
0,07/02/2018,31535465,1.69638E+12,887785,,-9.57E-05,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,03/04/2018,31535465,1.69404E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
2,05/12/2018,31535465,1.69266E+12,887870,,0.008943182,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
3,05/12/2018,31535465,1.69163E+12,880000,,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
0,20/02/2019,31535465,1.6962E+12,4750000,,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
0,19/10/2020,31535465,1.69629E+12,4000,,0.337792642,Listed for rent,Zillow Rentals,,,FALSE,TRUE,"{'infoString1': None, 'infoString2': 'Zillow Rentals', 'infoString3': None}"
0,09/07/2021,31535465,1.6962E+12,4250000,,0.168866887,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,18/01/2022,31535465,1.3735E+12,3636000,,0,Sold,Public Record,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
0,08/08/2022,31535465,1.6962E+12,399000,520,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,29/09/2023,31535465,1.66536E+12,,,0,Listing removed,StreetEasy,,,FALSE,TRUE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
2,03/10/2023,31540998,1.66432E+12,3100,4,0,Listed for rent,StreetEasy,,,FALSE,TRUE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
3,26/07/2005,31541240,1.66329E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
4,28/09/2006,31541240,1.65525E+12,399000,520,-0.132608696,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
5,05/02/2015,31541240,1.65249E+12,460000,599,-0.070707071,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
6,06/02/2015,31541240,1.64868E+12,495000,645,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
7,21/09/2015,31541240,1.63909E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
8,21/01/2016,31541240,1.63719E+12,495000,645,11.375,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
9,10/10/2017,31541240,1.55606E+12,40000,52,0,Sold,Public Record,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
0,02/10/2023,31541240,1.6962E+12,1489000,,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
