zpid,property_type,price,bathrooms,bedrooms,Total_bath_beds,size_sqft,url,address,broker_name
244802339,2,7450000,5,5,10,4100,/homedetails/911-Park-Ave-APT-6B-New-York-NY-10075/244802339_zpid/,"911 Park Ave APT 6B, New York, NY 10075",Corcoran
123579709,2,13200000,5,5,10,0,/homedetails/171-W-71st-St-9A-Manhattan-NY-10023/123579709_zpid/,"171 W 71st St #9A, Manhattan, NY 10023",Brown Harris Stevens
31500494,4,13950000,5,5,10,4100,/homedetails/25-Perry-St-New-York-NY-10014/31500494_zpid/,"25 Perry St, New York, NY 10014",Compass
31540844,5,22000000,6,4,10,9200,/homedetails/67-E-93rd-St-New-York-NY-10128/31540844_zpid/,"67 E 93rd St, New York, NY 10128",Sotheby's International Realty
2055233949,2,7500000,6,6,12,4200,/homedetails/1045-Park-Ave-UNIT-10AB-New-York-NY-10028/2055233949_zpid/,"1045 Park Ave UNIT 10AB, New York, NY 10028",Corcoran
31534916,4,9000000,6,6,12,5000,/homedetails/163-E-65th-St-New-York-NY-10065/31534916_zpid/,"163 E 65th St, New York, NY 10065",74 West Real Estate
31506443,5,13950000,6,6,12,6798,/homedetails/135-E-19th-St-New-York-NY-10003/31506443_zpid/,"135 E 19th St, New York, NY 10003",Compass
2143944031,2,27500000,7,5,12,5700,/homedetails/515-Park-Ave-New-York-NY-10022/2143944031_zpid/,"515 Park Ave, New York, NY 10022",Sotheby's International Realty
31535465,4,11500000,6,7,13,6776,/homedetails/161-E-74th-St-New-York-NY-10021/31535465_zpid/,"161 E 74th St, New York, NY 10021",Compass
31541158,1,24000000,8,5,13,11000,/homedetails/170-E-80th-St-New-York-NY-10075/31541158_zpid/,"170 E 80th St, New York, NY 10075",Berkshire Hathaway HomeServices New York Properties
2094894798,5,43000000,8,6,14,10500,/homedetails/18-E-73rd-St-New-York-NY-10021/2094894798_zpid/,"18 E 73rd St, New York, NY 10021",Brown Harris Stevens
2055120373,5,8500000,10,6,16,7000,/homedetails/19-Vestry-St-New-York-NY-10013/2055120373_zpid/,"19 Vestry St, New York, NY 10013",Douglas Elliman
31533978,5,23500000,10,6,16,10473,/homedetails/10-E-75th-St-New-York-NY-10021/31533978_zpid/,"10 E 75th St, New York, NY 10021",Brown Harris Stevens
2073108029,5,28500000,11,6,17,12300,/homedetails/14-E-69th-St-New-York-NY-10021/2073108029_zpid/,"14 E 69th St, New York, NY 10021",Peter Ashe
31546882,5,3980000,6,12,18,4492,/homedetails/2296-2nd-Ave-New-York-NY-10035/31546882_zpid/,"2296 E 2nd Avenue, New York, NY 10035",E Realty International Corp
143169723,3,2999000,10,9,19,5560,/homedetails/1937-Madison-Ave-New-York-NY-10035/143169723_zpid/,"1937 Madison Ave, New York, NY 10035",Brown Harris Stevens
2055189577,5,3695000,9,10,19,5760,/homedetails/315-E-51st-St-1-New-York-NY-10022/2055189577_zpid/,"315 E 51st St #1, New York, NY 10022",Brown Harris Stevens
2055054330,3,8000000,10,10,20,0,/homedetails/346-W-87th-St-New-York-NY-10024/2055054330_zpid/,"346 W 87th St, New York, NY 10024",Corcoran
2055054639,3,8000000,10,10,20,NULL,/homedetails/346-W-87th-St-TWH-New-York-NY-10024/2055054639_zpid/,"346 W 87th St #TWH, New York, NY 10024",Corcoran
